Phoneme,Word
/'bæg/,bag
/'bæt/,bat
/'æpəl/,apple
/'trævəl/,travel
/'bi:t/,beet
/'bɪt/,bit
/'hɪt/,hit
/'hɜ:t/,hurt
/'bu:t/,boot
/'su:t/,suit
/'swi:t/,sweet
/'haɪt/,height
/'weɪt/,weight
/'weɪt/,wait
/'sɪmpəl/,simple
/'prɪnsəpəl/,principal
/'prɪnsəpəl/,principle
/'stɑ:t/,start
/'hɔ:lt/,halt
/'həʊl/,hole
/'həʊl/,whole
/'mæn/,man
/'wʊmən/,woman
/'men/,men
/'wɪmɪn/,women
/'mɪlk/,milk
/'skɪn/,skin
/'helθ/,health
/'ʃi:t/,sheet
/'ʃaɪn/,shine
/'welθ/,wealth
/'sʌm/,some
/'sʌm/,sum
/'bʌmp/,bump
/'hʌnɪ/,honey
/'su:pə/,super
/'mætə/,matter
/ɪm'pɔ:tənt/,important
/'tɔ:k/,talk
/'hɒt/,hot
/'ʃɒt/,shot
/'fæt/,fat
/'feə/,fair
/'fɪə/,fear
/'haɪə/,hire
/'wɪntə/,winter
/'ɪz/,is
/'æz/,as
/'wɒz/,was
/'weə/,where
/'wɜ:/,were
/'haɪ/,high
/'flaɪ/,fly
/'saɪ/,sigh
/'bəʊl/,bowl
/'hi:l/,heel
/'treɪn/,train
/'reɪn/,rain
/'mɑ:stə/,master
/'laʊd/,loud
/'saʊnd/,sound
/'nju:z/,news
/'flu:/,flew
/'flaʊə/,flower
/'paʊə/,power
/'kəʊt/,coat
/'bəʊt/,boat
/'lɒt/,lot
/'kəʊld/,cold
/'kærəktə/,character
/'pæʃən/,passion
/'tʃɑ:m/,charm
/'tʃɪl/,chill
/'ʃɔ:/,sure
/'kjʊə/,cure
/'leɪn/,lane
/'fɔ:/,for
/'fɔ:m/,form
/'tru:θ/,truth
/'ðeə/,there
/'ðæn/,than
/ðəm'selvz/,themselves
/maɪ'self/,myself
/'wɪŋz/,wings
/'rʌnɪŋ/,running
/'mʌðə/,mother
/'əʊld/,old
/'jʌŋ/,young
/'mɪlɪən/,million
/'teɪk/,take
/'tʊk/,took
/'ʃʊk/,shook
/'lu:s/,loose
/'lɒs/,loss
/'lɑ:st/,last
/'təʊl/,toll
/'verɪ/,very
/'veɪn/,vain
/'veɪn/,vein
